label,child talk,parent talk
unlabelled_praise,excuse me,you 're polite
command,,i said put your feet on the floor
unlabelled_praise,,you 're smart
reflection,blue is my favorite color,you like blue the best
labelled_praise,,good choice of the cars
question,,are you sure you want to put that there
neutral_talk,the mommy and the daddy and the sister are eating dinner,the whole family is eating dinner
command,,go to the table
behavior_description,the cow says moo,you are making the cow say moo
reflection,he 's got a thingy on his head does n't he,a thingy yes
labelled_praise,,great job building that castle
neutral_talk,,i never even knew that
reflection,i'm making you a drink,you 're making me a drink
labelled_praise,,that s a good idealabelled_praise
negative_talk,please,shut it
neutral_talk,\( points \),"oh okay , let s get all these trucks over here"
behavior_description,,uh
negative_talk,,you do n't ever listen to me
neutral_talk,,you have the crayon
neutral_talk,,that 's a
reflection,i made a big square,you made a big square in the circle
command,,let 's put one right here
behavior_description,,you 're putting the corner piece on
command,,i need you to stop
command,should i use the blue or the black,you tell me which one you want
reflection,i found olaf,you did find him
command,,can you count the animals
reflection,you 're building a high tower,i'm building a high tower
command,,why do n't we clean up these blocks before we get another toy out
command,,color this one yellow alright
reflection,,"you wanted it oh violet , that looks awesome"
labelled_praise,,i like the castle you built
negative_talk,,do n't put that toy in your mouth
reflection,they are going to a party,oooh a party
command,told you,sit over there
question,,you place at wrong place do n't you
question,,what do you say to (insert therapist name)
command,,do n't put it there
question,uh,do you want to sit down
labelled_praise,there,i like the way you are sitting down
command,,could we sit at the table
question,,which toys do you want to play with
neutral_talk,i'm sleepy,you are n't getting enough sleep
question,,are you going to play with me
neutral_talk,she has a doll,we went to the store yesterday and you got a doll
neutral_talk,found one,oh my goodness there s a whole bunch of them there
command,,come sit with me
unlabelled_praise,,how cool
question,,what are you making over there
neutral_talk,i know you can do it,"oh , i think i m going to place the cars in here"
question,,what color is this
neutral_talk,,here you go
question,,you still got room for one more
neutral_talk,playing with a truck,the truck is going up the ramp
reflection,i'm going to draw next,you 're going to draw next
command,,close the door please
negative_talk,look at my cat,that 's not a cat silly
question,,what color is that door
labelled_praise,,if you keep doing such a good job we can get a soda later
neutral_talk,,i'm gonna make a house
command,,pass me the toys
command,,can you build a tower here
neutral_talk,,alright
negative_talk,,"no , you re supposed to flip with it"
behavior_description,,you 're looking for the red ears
command,,hand me the purple crayon
neutral_talk,,red then green
negative_talk,,that 's not nice to take her paper and her crayons
labelled_praise,,this is a terrific house we made
reflection,i like the cars,you like the cars
question,,you do n't want to
neutral_talk,,oh cool it makes music
neutral_talk,in front of this one,"yeah , now what happens"
question,,what should i do
labelled_praise,,it 's nice how quietly you 're playing with the blocks
neutral_talk,,mommy is going to put away the toys now
neutral_talk,the minister told us a story,the story was a bible story
behavior_description,,you are staying inside the lines when you color
command,,wo n't you make a cat sound now
labelled_praise,,i like how you re trying all of the different cars and seeing how fast each one goes
question,,do you want to have a race
labelled_praise,,you 're acting nicely
neutral_talk,,alright
reflection,i'm mad at you,you 're mad at me
reflection,that 's a house for maggie,for maggie
command,,pick up the toys okay
behavior_description,,but now you added a green piece
command,,pick up the play doh off the carpet
labelled_praise,,i like that drawing
neutral_talk,,i'm taking my animal to the store
behavior_description,,i'm coloring like you are coloring
behavior_description,,that 's the cow
negative_talk,i hate you,you ca n't do this
labelled_praise,,i like that you 're not climbing on the table
question,,who taught you how to do that
negative_talk,,if you stop biting your nails they 'll be prettier
question,,where do you want the fence to go
question,,he won t have a cupcake
neutral_talk,im a cookie monster and a milk monster and a yogurt monster and a,the cow is brown
command,,hey hey
negative_talk,,children are n't supposed to yell when they 're inside
behavior_description,,you 're coloring the house with green
neutral_talk,hand me the nose,i 'll hand you the nose
neutral_talk,,these pages are dirty
labelled_praise,,thank you for picking up all the toys
labelled_praise,i made a train track,i love your track
question,,what 's going on here
behavior_description,,you got them together
neutral_talk,dad the bus driver yelled at me again today,he was n't very nice to you
behavior_description,,you 're making us dinner
labelled_praise,i should put her clothess on,you counted the numbers perfectly
command,,if you do n't give me the yellow crayon you 'll have to sit on the time out chair
negative_talk,,do n't do it like that
reflection,come sit with me,you want me to come sit with you
unlabelled_praise,,that was awesome
behavior_description,,you 're making that tower so tall
question,,you know what
labelled_praise,,nice job with that tower
neutral_talk,,these are peas
negative_talk,,that is not how we do things
labelled_praise,,that wonderful tower you 're building may crash if you put it so close to the edge
question,why are we here,why do you think we 're here
question,,are you making a tall tower
labelled_praise,,thank you for sharing with me
reflection,i want to play with the train set,you want to play with the train set
question,that small,"that one is kind of low isn t it , we need a tall one don t we"
command,,you are going to make the windows red
neutral_talk,"like that , like that","oh there see , you got it out"
command,,name of child
behavior_description,,you drew a purple flower
command,,we need to put another log right here
reflection,this is a dog,yes a dog
neutral_talk,(child is playing with toy farm),the farmer is taking care of his animals
unlabelled_praise,,that 's perfect
labelled_praise,,good girl for playing
negative_talk,i dropped it,oh that 's great
neutral_talk,what is this (holding up a dolphin),that is a dolphin
neutral_talk,,these pegs go in these holes
behavior_description,,you have the block
question,,do we sit on the table
reflection,i put it on top,you did put it on top
behavior_description,,i 've noticed you 're really working on that tower
neutral_talk,,ok
command,i'm going to share my straws with amy,you share your straws with your friend
neutral_talk,i love animals,i am going to play with the farm
reflection,we need to find the bad guy,okay i 'll help you find the bad guy
unlabelled_praise,,you are awesome
question,,are you sure you want to do that
labelled_praise,,good job sharing that toy with me
question,,why are you doing that
reflection,i want to play this,you want to play this
reflection,let 's play with legos,legos
behavior_description,,you are playing with the rocket
question,that,where is mexico
unlabelled_praise,,"oh , good job"
reflection,i am drawing a horse,you are drawing a horse
neutral_talk,how does it work,i do n't know how it works
behavior_description,,you 're drawing a tree
command,,wait up
reflection,i like the horse,you like the horse
labelled_praise,,awesome job being quiet
reflection,it 's a big house,it is a big house
question,you have to put it the other way,like this right
labelled_praise,,what a pretty flower
negative_talk,i ll choose this one and this one,"oh , you got two"
question,,how many wheels are there in this car
reflection,there 's a green one,yes there 's a green one
behavior_description,uhhuh,i see you are coloring those apples pink
command,,i want you to make me a pizza
command,,put that here
behavior_description,,you are putting the green block on the yellow block
negative_talk,,that 's a messy picture
question,okay,is it this one or that one
reflection,see the kitty,yeahkitty
behavior_description,stacking legos,you are stacking the legos
labelled_praise,,you colored nicely
question,,you 're adding the piece there huh
neutral_talk,,i think i need a hat
reflection,i have four horses,you have four horses
reflection,i like this one,you like that one
labelled_praise,,good job keeping your hands to yourself
behavior_description,,put the chimney on
command,,give me the hammer or you ca n't play computer games when we get home
reflection,i'm cleaning up,you 're cleaning up
behavior_description,,you are putting the arm in mr potato head
reflection,mine won again,yours won again
reflection,i'm gonna open the door,now you 're going to open the door
reflection,these cars are getting ready to race,ready to race
labelled_praise,,you build a really cool tower
neutral_talk,,my favorite cake is strawberry
labelled_praise,,i love how you 're using such kind words while playing with me
unlabelled_praise,,thank you
labelled_praise,,you 're smart for knowing your colors
negative_talk,can we go to macdonald 's after this,no you did n't earn macdonald 's
question,,whatcha got there huh
unlabelled_praise,,thank you
command,,jimmy give me the rock
reflection,i found a lego,you did find a lego
neutral_talk,let 's play with the blocks now,i will get the blocks out
reflection,we have pizza grapes and a cookie,pizza grapes and a cookie
question,,is that his left arm
question,,what is it anyway
neutral_talk,i can make build this really high,you can build it high
command,,pay attention
neutral_talk,,i see
neutral_talk,,i m using the red car
negative_talk,,i hate your whining
command,,now we got to get a single block like the little yellow one an then we got to put these together then we put
neutral_talk,,it 's almost time for grandma 's visit
question,,they are eating
neutral_talk,you re just kidding,yeah
labelled_praise,,i like playing with you
behavior_description,,you 're getting out the magnets
behavior_description,child puts cap on a marker,you put the cap on the marker
unlabelled_praise,,super fort
labelled_praise,,you 're working hard to build the barn for all the animals
command,,put the crayons in the box
reflection,it 's almost time for a break,it is almost time
question,i ll keep using pinks until we run out,pink is your favorite
neutral_talk,,i see
negative_talk,,that does n't go like that
negative_talk,(child climbs on chair),not available
behavior_description,,your making a talk tower
labelled_praise,,i like how you made that tower
labelled_praise,,you are doing a great job stacking those together
command,,stop yelling
neutral_talk,,you are n't putting her eyes on yet
question,,where should i put this
neutral_talk,,oh there 's a mr potato head
neutral_talk,,i would n't do it it like that i would do it this way
command,,can you please put all the toys away now
command,child runs around the room,please sit your bottom on the chair
command,,pick up the tinker toys
neutral_talk,let 's put the green one on next,the red one would look better
command,,let s try to put a few more in
reflection,bigs foot,big foot
neutral_talk,the dinner is going to be all,oh
behavior_description,,you got it in there
command,,go sit down
negative_talk,,bad bad bad
behavior_description,running around the room,you are running around
reflection,do you like horses,you 're wondering if i like horses
question,i have to go to the bathroom,do you know how find it
unlabelled_praise,,nice listening
neutral_talk,,it 's hot in this room
neutral_talk,watch this,i m watching
behavior_description,,you drew a green star
command,,i want you to hand me that
unlabelled_praise,,i'm proud of you
reflection,this game is fun,you like playing this game
neutral_talk,,the giraffe is going down the slide
command,,try this one
labelled_praise,,i like your manners
behavior_description,(child feeding baby doll),you 're feeding the baby doll
command,,you are going to put that gum in your mouth
command,do we have to clean this up,you do it ok
command,,give that to daddy when you see him
command,,clean up this toy before we play with the other one
behavior_description,,you 're building a tower
labelled_praise,,good job putting that down
neutral_talk,this green is the tallest one,the red is tallest
neutral_talk,be careful on the corner but if you have a one piece you can put it there,okay
neutral_talk,let me get,"oh , fig newtons"
reflection,we have to get more,some more food
behavior_description,,ok
labelled_praise,,you 're playing so nicely with the blocks
neutral_talk,,his name is tommy
question,,why are you doing it that way
behavior_description,,you can go to the bathroom all by yourself
neutral_talk,there are a lot of toys in here,a lot of toys in here
neutral_talk,her mother makes her say please,children should talk nicely to their parents
behavior_description,(chooses the boat to play with),you picked the boat
neutral_talk,,maybe there can be the food there
labelled_praise,,"oh , you re doing so good , henry"
neutral_talk,,that 's blue
reflection,i like coloring,you like to color
behavior_description,(pulls red one out of box),you got a red one
behavior_description,,you have a lot of blue blocks
negative_talk,i wish i could smash your tower,no that 's not nice i do n't want you saying things like that
question,,should we call this dog spot
negative_talk,,do n't swing on the curtains
command,,let 's stop that
labelled_praise,,nice job making that piece fit
negative_talk,child is hyper and running around the room,i ca n't take you anywhere (sarcasm)
behavior_description,,you sat down over there
labelled_praise,,you are sitting in your chair so nicely
command,,please put the toys in the toy box because
question,,that 's the baby
labelled_praise,,thank you for returning to the table
command,,put that toy over there
negative_talk,,are you kidding me
question,i'm putting the red block on top,the red block on top
negative_talk,a mean yucky troll,what do you think you are doing
neutral_talk,,i like that train set
reflection,my car won,it won
neutral_talk,,that s good teamwork
command,can i have a kleenex,yes you can get it yourself
command,,look look look
labelled_praise,,good job coloring in the lines
command,,come here
reflection,i falled ed down and got hurt,you fell down and got hurt
reflection,i can t fit,it doesn t fit
behavior_description,,you found a cowboy hat
reflection,the girl is in the green car,the green car has the girl and the boy in it
question,i'm making a princess castle,you are making a princess castle
neutral_talk,,"well , i was trying to follow you"
command,he s somewhere,be careful there
reflection,no more,no more
behavior_description,hanging the inaudible,"oh , you picked up the blue shoes"
neutral_talk,,the hat goes on the potatohead
reflection,i am using the black paint,you are using the black paint
question,we have a long time to go what do we have to do with we are gonna we gonna do,what are we going to do
neutral_talk,the walls are done,it should have a roof on it
negative_talk,i'm not done yet,you 're too slow
question,,where are you going to put the container
question,sl el el,she is the princess
behavior_description,,you are helping mommy
unlabelled_praise,,great job
reflection,i want to go home,we 'll go home soon
neutral_talk,what 's that color,teal (insert any color in a coloring box)
behavior_description,(drops a toy),you dropped it
neutral_talk,,that looks like a tower
command,let 's build a tower,let 's build a tower
reflection,the sun is yellow,the sun is yellow
labelled_praise,,i love the way you drew that so dark
neutral_talk,,a house
command,,we have to pick up all the toys now
question,i'm sleepy,you 're not getting enough sleep huh
question,,you what
labelled_praise,,you are a good color er
neutral_talk,,you know all your letters you get it
command,,take it out of your mouth
reflection,i circled the snake,a long scary snake
unlabelled_praise,,i love it
command,,use this one
labelled_praise,,i like that lego tower
behavior_description,,you are sorting all the food
neutral_talk,yeah,okay
labelled_praise,,beautiful picture
negative_talk,i built an airplane,that does n't look like an airplane
neutral_talk,,i m going to put my potato head here
command,,stack the blocks in a tall tower
command,,turn off the light please
reflection,which car is fastest,you want to know which car is fastest
negative_talk,,that 's not where it goes honey
reflection,i have four cars,the yellow red green and blue car
behavior_description,,you got every single one
reflection,what color is this,you want to know what color that is
question,cocoon,where are your shoes
question,,would you rather play with the castle
neutral_talk,,if you break your sister 's headphones i 'll use your allowance money to replace them
unlabelled_praise,,that 's colorful
neutral_talk,yes,okay
negative_talk,,if you stop being good i 'll tan your hide
unlabelled_praise,,"oh , awesome"
labelled_praise,,thanks for sharing with me
behavior_description,,you push the box on the shelf
negative_talk,i do n't know,why do n't you ever listen
negative_talk,,that is not how you put that together
unlabelled_praise,,nice
command,,check and see if it 's in your pocket
negative_talk,child under the table,it would make me so happy if you would play at the table with me
command,,you can use the green one
negative_talk,,that 's naughty
labelled_praise,,what a great cleaner you are
labelled_praise,,your drawing looks great
neutral_talk,,"well , it s an awesome feast"
labelled_praise,,i like the way you are playing gently with your toys
labelled_praise,dad,thank you for staying with me
command,,you might color it silver
labelled_praise,,you 've become such a good artist
behavior_description,,you made a red star
behavior_description,,you wrote an 'n'
neutral_talk,,no that one
negative_talk,i made a square,i do n't think so
command,nah,say hi to the policemen
question,,where is it
unlabelled_praise,,very cool
negative_talk,i won i won,please stop shouting
labelled_praise,,that 's it you did it congratulations
labelled_praise,,great job putting the red block on the blue block
command,,stay in your chair
labelled_praise,they re gonna love it,"oh , this is so great"
labelled_praise,,your hair is beautiful when you comb it like that
labelled_praise,,you 're a good girl for playing with the toys
neutral_talk,,i like these farm animals
question,,should i squish it
behavior_description,,you 're making it tall
labelled_praise,,i'm so glad you made a good choice
labelled_praise,,i love that you shared the crayons with me
labelled_praise,,i love the way you are playing with me
behavior_description,,we 're snapping on the pieces
neutral_talk,,it 's almost time
neutral_talk,why,the legos are in a pattern
labelled_praise,,thanks for fixing my car
question,,what should we do now
negative_talk,,clean up the mess you made
question,,are you ok
command,,can you get me another one like this
neutral_talk,,i m coming there
question,,how many animals are there
neutral_talk,and then are you going to take it out,"i will take it out eventually , yes"
reflection,,you 're done
behavior_description,,you put the cake together
neutral_talk,sliced,i know you like those
neutral_talk,,it is awesome
question,,what sound does this animal make
reflection,i have a red one a blue one and a yellow one,a yellow one
command,,okay i want you to write your name with the green crayon
negative_talk,,you are not saying it right
behavior_description,,you are sitting in my lap
reflection,that is this one,oh that s that one
negative_talk,,no big bird is supposed to be yellow
command,,let 's play with the legos
question,,is that where it goes
neutral_talk,,we 're going to go home after session today
question,this is a tractor,you 're observant are n't you
labelled_praise,,great job driving the car on the road
command,,why do n't you make a house and make it big
labelled_praise,,oh boy that s a pretty good wall
behavior_description,,you can draw colorful flowers
behavior_description,,you 're building a big cabin
negative_talk,,stop playing mean
behavior_description,,you 're thinking hard
reflection,on it,on it
reflection,the minister told us a story,he came to the 4 year old class to tell a bible story
neutral_talk,,pardon me
question,yes,do we need pizza
behavior_description,(child starts making a wall with red blocks),you 're going to make the wall red
command,,shall we mary put the house here
question,,do you like this toy
question,okay,does it fit
unlabelled_praise,,good cleaning up
negative_talk,,no it goes like this
command,,if you do n't give me that hammer right now you 're going to get a spanking
question,,which one do you want
command,,can you put the toys away
question,,oh you 're going to build inflection
neutral_talk,,i'm going to play with the firehouse
behavior_description,,you 're putting it on top
command,,bob calls child 's name to get attention
question,,why do you think i said that
negative_talk,sit sit sit sit,that 's the wrong way
behavior_description,,you are driving the cars
reflection,my doll 's name is peter,his name is peter
neutral_talk,,i'm building a castle
neutral_talk,,that tree is getting taller
neutral_talk,,hmm
labelled_praise,,thanks for picking that up
behavior_description,,you are playing with the playdoh
reflection,my name starts with m,m
behavior_description,,you 're adding green to your picture
reflection,i found the piece for dory,yes you found dory
question,yeah,um do we need chicken
command,,you heard her put all the toys away
neutral_talk,,i am
command,,cut the strawberry
behavior_description,,you put it on top
labelled_praise,,i love your kind words
neutral_talk,,the red car is touching you
neutral_talk,this talks,that tower is big
behavior_description,,you decided to give me the blue ones
negative_talk,,quit acting up
command,,we 'll talk about it later
neutral_talk,i had started doing this,you yeah
neutral_talk,,i want to drive those cars
question,,who is going to clean this up
command,,why do n't we play with the blocks now
negative_talk,we ran out of blocks before your turn,thanks a lot
command,,see if you can put them together for me
neutral_talk,how hard,we did it together
labelled_praise,,it 's nice to see you working on your homework
unlabelled_praise,i found a lemon,"oh , perfect"
neutral_talk,"one , gone",well get got to have one more
neutral_talk,,i m not very good at getting the playdough out of here so i think we re even
negative_talk,dere,if you do not stop running around i will spank you
negative_talk,,wrong
neutral_talk,,i 'll play with this toy
reflection,how many are there,you want to know how many there are
question,,why are you putting those together
neutral_talk,laughs,that 's a house
behavior_description,,you picked the blue toy
reflection,i want to make a house,you want to make a house
neutral_talk,,i want to color now
behavior_description,,and you put the arm on over there
negative_talk,,will you stop whining
neutral_talk,,"hmm , wonder if this one can go on that next"
labelled_praise,,you have beautiful hair
labelled_praise,,you 're working so hard
command,,you could sit down
labelled_praise,,great job picking up the toys
negative_talk,what,do you want to go to timeout
neutral_talk,,you just had two
question,mine is green,yours is green is n't it
command,,now put it away
labelled_praise,,what a creative idea to make him have two eyes
behavior_description,i see the advertisement and he says on jeepers creepers,you and i are making a big fort
labelled_praise,,you 're so creative with the play doh
command,,settle down
reflection,let s make a picnic,"oh , a picnic"
question,,what are you doing now
question,,is there a dog in here
unlabelled_praise,,terrific drawing
reflection,give me the car,you want the car
neutral_talk,,i'm tired
reflection,green is my favorite,green is your favorite
command,i ca n't do it,let me help
neutral_talk,,there are n't any more wheels
neutral_talk,,this is a circle
question,i got this for christmas,your shirt
question,i 've got dolly,remember dolly 's name
reflection,i like monkeys,i know you like monkeys
behavior_description,,you found the ears
reflection,,you 're going to throw it
reflection,t rex was a meat eater,t rex was a carnivore meat eater
neutral_talk,there we go,ok
command,,let 's go
labelled_praise,,you were very smart to figure that out
neutral_talk,,i ll make mine go next
neutral_talk,now we have everyone is going to eat dinner,"oh , hey"
reflection,i am building a house,you are building a house
command,,"we gotta clean the table first , okay"
negative_talk,,you put it in the wrong place
command,,let 's play with the blocks
behavior_description,,you are drawing a sun
command,,let 's clean up now okay
reflection,we only have three,"we only have three , that s true"
labelled_praise,,i think it 's pretty cool the way you colored that puppy
command,,will you clean up
neutral_talk,this puzzle wo n't work,you seem upset because of the missing pieces
neutral_talk,i want to read a book,we can read a book after this is done
neutral_talk,,i'm building a house
negative_talk,,why ca n't you ever behave
neutral_talk,,i want to race cars
reflection,do you like my bridge,oh you want to know if i like you 're bridge
command,you 're mean,use nice words ok
unlabelled_praise,,how nice of you
behavior_description,,you put your shoe on
question,,would n't that be fun huh
neutral_talk,,i'm going to draw like you
question,,would you help me clean up
neutral_talk,,alright
behavior_description,,you put the car on the garage
neutral_talk,,you like horses
labelled_praise,,that s a good idea
command,,i want you to draw what i draw okay
command,i don t i don t need it right now,watch
question,,do you have one of those pieces
neutral_talk,and when i wind it up it went went about a hundred feet up way up,the toy is in your hand
command,,you make a small one
question,,can you stack the blocks
question,,these toys are fun are n't they
command,,give that back now
labelled_praise,,what a great idea to build the tower that way
neutral_talk,,here 's a t
question,,how many is that can you count them
question,,what is your favorite toy
negative_talk,,that 's what happens when you do n't listen
behavior_description,oh kay,uh
negative_talk,,you 're not paying attention
command,,come play with these legos
reflection,i'm making a boat and a jet ski,you 're making a boat and you 're making a jet ski
labelled_praise,,thanks for sitting down
neutral_talk,is this where the arm goes,that 's where the arm goes
reflection,i'm making a robot,you are making a robot
negative_talk,,what is your problem
neutral_talk,the end,i want more small pieces
neutral_talk,okay,yeah
question,i wanna change da wheel right now,you 're putting that over there
negative_talk,,you are being brat
negative_talk,,would you stop coloring on the wall
negative_talk,the giraffe is pink,no silly that giraffe is yellow
neutral_talk,,i'm making a snake
negative_talk,,quit it
labelled_praise,,i love how you 're following directions
command,,pick up the toys
command,,we ve got to build a wall around to keep your trucks in
labelled_praise,,you are doing a good job
negative_talk,,stop it
behavior_description,,you just knocked over your tower
command,,can you reach it
command,i'm going to draw a picture of you,you 're going to put the crayons away
negative_talk,child asks parent to play w,i do n't want to play with
neutral_talk,,you can play with any of the toys
labelled_praise,,you 're good at lifting that
neutral_talk,,i love drawing birds
command,lions,let 's clean up
command,,pick it up
command,,put your shoes on
reflection,i drew a dinosaur,yes you drew a stegosaurus
reflection,i want the red block,the red block
behavior_description,,you 're drawing a house
labelled_praise,,i like how you 're playing
command,,do n't be rude
unlabelled_praise,,nice building
command,,get up from the floor
question,,a circus
labelled_praise,,you are so good at coloring
labelled_praise,,i love when you play gently with the toys
neutral_talk,,how about that
neutral_talk,got it,we can use whatever color
question,,what 's wrong
question,a real lazy susan,a real one
question,,we saw one of these the other day do you remember what it 's called
negative_talk,,you do n't know how to do anything
unlabelled_praise,"sometimes you do , but sometimes you don t",that s right
negative_talk,,you ca n't do that
labelled_praise,ice,thank you for trying
negative_talk,,you 're not behaving
negative_talk,,that ai n't it
reflection,just all you guys,"oh , just all us guys"
command,,sit down and shut up
negative_talk,my tower is really big,you made it too big
question,,are you going to the farm
neutral_talk,,we can get it after
unlabelled_praise,,what an angel
question,,want to play with this now
behavior_description,playing with play doh,you made a circle
behavior_description,i'm making a tall tower,you are making a tall tower
neutral_talk,,it is raining outside
reflection,i'm going to draw now,you 're going to draw now
neutral_talk,,he needed a hat
labelled_praise,,i like playing this with you
neutral_talk,,that 's a policeman
behavior_description,,lots of cards you 're lining up
negative_talk,,quit
neutral_talk,gl,yours is green
command,no,listen
neutral_talk,,i'm going to draw one like yours
labelled_praise,here,thank you for the spicy
unlabelled_praise,,good stacking
labelled_praise,,thanks for driving that over there
question,i want one,this
command,,come sit next to me
command,you haveto get move,i am sure
command,,you may eat the candy
question,,do you like what i made did
negative_talk,,do n't put that in your mouth
reflection,this chalk is messy,it 's very messy
question,,what is this
neutral_talk,,the door is white
behavior_description,,you are whining
question,,what do you want to do next
negative_talk,,you 're so difficult
neutral_talk,my car goes fast,my car goes fast too
neutral_talk,they could get losed really quick,"yeah , they are easy to lose"
question,we re gonna get some and now we re going to watch tv,can he have some spicy
neutral_talk,,then you 'll need more blocks
behavior_description,,now you 're adding some feet
negative_talk,,you 're not doing it right
neutral_talk,"ok , we can start all over","oh , alright"
labelled_praise,,i love it when you help me
command,,can you pass me that box
negative_talk,,i do n't think we should play with that
neutral_talk,,i see that you look bored
labelled_praise,,thank you for my ice cream
labelled_praise,,you 're good at that
labelled_praise,,i love how gentle you are playing with the toys
negative_talk,,you 're still not using exactly the right colors for the american flag
question,,what is that
negative_talk,,if you keep sassing i 'll put you in time out
question,i want to play legos,you want to play legos
neutral_talk,how do you count to three,one two three
behavior_description,,johnny is opening the box
labelled_praise,,you have great aim kiddo
unlabelled_praise,,nice picture
behavior_description,playing with cars,you are putting the car down the ramp
behavior_description,,you put silly eyes on your potato head
neutral_talk,,i m sorry
command,,you might put the blue cap on the blue bottle
behavior_description,,we 're drawing a house
reflection,i put a hat on my potato head,a hat on your potato head
command,,will you sit down
unlabelled_praise,,awesome picture
negative_talk,,do n't talk like that
negative_talk,,you 're a terrible child
reflection,,you think that we should eat pizza
neutral_talk,,slowly
reflection,i'm going to draw a picture of you,you 're going to draw a picture of me
behavior_description,,you put that in quickly
question,,do you have any more playdough
command,,how about putting your hands in your lap
question,,what color should i add next
command,,give me a red one
behavior_description,,pushing that tractor all over the place
labelled_praise,because the other one has mm fish and thats lotsof fish,i like the way you are playing quietly
command,i'm going to share my straws with amy,you 're going to share your straws with amy
behavior_description,okay watch here mine is that yours,you just finished the red one
question,,do you know what that 's called
labelled_praise,let 's pretend we 're unicorns,you have a wonderful imagination when we play pretend
neutral_talk,you ca n't have any,it 's so nice here
question,,how did you do that
labelled_praise,building a tower,that 's a beautiful tower you built
behavior_description,,you drew a circle
neutral_talk,,these blocks are great
behavior_description,,you are drawing a big green dinosaur
labelled_praise,,the dog you drew is very pretty
question,,what do you want to play with
neutral_talk,,i like the purple cars
question,"ok , that s all of the tea we ve got",are you sure
command,,put the farmer in the barn
neutral_talk,help me,i 'll help you
labelled_praise,,we built a lovely house together
neutral_talk,,i think there are pieces missing here
question,i am making it big,you are making it big huh
neutral_talk,,um
neutral_talk,how many do you have,five
neutral_talk,it 's a castle,it 's a big castle
command,,give that to me
reflection,there are so many train tracks,yes there are a lot of train tracks
negative_talk,he 's driving a car,(laughing) what horses ca n't drive silly
command,,you try
negative_talk,i went to that store when people go out,it is just not quite hard enough
neutral_talk,would n't it be fun if i were a big spider,nope
behavior_description,,you are drawing a rainbow
behavior_description,,you are using your words
reflection,i'm making it tall,it 's tall
command,,can you pick up the toys
neutral_talk,,there s an orange in the pot
neutral_talk,,the car is driving on the road
behavior_description,,you chose the play dough
neutral_talk,,hotdogs
reflection,a scoop of ice cream,you found a scoop of ice cream
neutral_talk,seven,"one , two , three , four , five , six , seven"
neutral_talk,but he s fast,uh huh
neutral_talk,,"oh , butter"
behavior_description,,you are singing and dancing
command,,bring it to me
labelled_praise,,and you put that one in
neutral_talk,,flip
question,,wanna make an airplane
negative_talk,,you 're working too slowly
behavior_description,,you 're writing an a
labelled_praise,,you 're a nice girl
behavior_description,,you built (legos blocks)
unlabelled_praise,,sounds great
command,i said i hate it here,be quiet we do n't yell
behavior_description,,you 're putting red and blue magnets together
command,,can you get the toys over there
reflection,it 's a horse,it is a horse
reflection,i colored a circle,you colored it
neutral_talk,,i used to play with trains when i was a kid
reflection,she 's building the puzzle,yes she is building the puzzle
question,put the next one on daddy,do you think it should go here
behavior_description,,you are building a train
question,,you made a robot
reflection,i only like the baby dinosaurs and not the big ones,you like the baby dinosaurs only
negative_talk,,i do n't like that
question,hmm put money in there,where are the pretty blocks
reflection,another cake,another cake
command,,johnny johnny johnny
unlabelled_praise,,terrific
reflection,this car,"oh , that s a car"
question,,do you want to go to the store
question,some spicy food,"oh , you need some spicy food"
command,,will you give me that green crayon
labelled_praise,,i like that you 're playing quietly
question,,do you wanna build a castle
question,you can t follow me,can these two cars be friends
question,the car is going down the track,do you want it to go this way
neutral_talk,,we need another log right here
question,,is that a house
labelled_praise,,i love the house you drew
negative_talk,because,i think we can put some peas in the baking
behavior_description,,you stacked a purple tower
negative_talk,,you 're being rude
labelled_praise,,good job covering your mouth
reflection,this house is getting tall,you are building that house up tall
negative_talk,,that piece does n't go there
neutral_talk,,and then how about
labelled_praise,,i like how you made that
reflection,yes,yes
behavior_description,,you 're trying to reach the game
unlabelled_praise,,yay
reflection,they are going to school,oh to school
neutral_talk,,i found a nose
question,,are you ready to leave
labelled_praise,,it 's terrific that you know all your letters
negative_talk,will you be the cow,no i do n't want to be the cow
neutral_talk,,it 's mommy 's turn
command,,come on i want to play a different game
command,okay,"ok , now you can pick one"
reflection,not clear play not clear toy,you 're telling me something about a toy
neutral_talk,,we get to put everything back up
question,,is n't the cow your favorite animal
behavior_description,,you colored the car blue
behavior_description,,you have your horse galloping with mine
question,,what will you play with next
neutral_talk,"nah , they re fine",ok
reflection,i put the toy over here,you put the toy over there
reflection,"yeah , sometimes i do , but not every day",not every day
command,,wait wait
command,,tom (stating name to get their child 's attention)
behavior_description,,you just made a pretty picture
reflection,i like the car,you like the car
neutral_talk,,oh ok
command,,we ll get it
reflection,the farmer is feeding the cows,oh the farmer 's feeding the cows
question,where s the nose,where is the nose
behavior_description,,you are making that car go so fast
question,,do you like my mr potato head
question,put the next one on daddy,do you think it should go here or here
neutral_talk,,i should get some of these toys for us
unlabelled_praise,uh k,"oh , great job"
behavior_description,,you 're working to make it darker
negative_talk,put it on top,no way
neutral_talk,,something might fall on my head
question,not clear play not clear toy,you want to play with the toy
neutral_talk,,that block is blue
labelled_praise,,it 's nice to share
labelled_praise,,wow you 're good at building with these things
negative_talk,,i do n't like it when you do that
reflection,i want to play with the legos,with the legos
neutral_talk,,now i'm going to draw a pirate
