Speaker,Utterance
parent,"yeah , now what happens"
parent,what should i do
parent,it 's nice how quietly you 're playing with the blocks
parent,mommy is going to put away the toys now
child,the minister told us a story
parent,the story was a bible story
parent,you are staying inside the lines when you color
parent,wo n't you make a cat sound now
parent,i like how you re trying all of the different cars and seeing how fast each one goes
parent,do you want to have a race
parent,you 're acting nicely
parent,alright
child,i'm mad at you
parent,you 're mad at me
child,that 's a house for maggie
parent,for maggie
parent,pick up the toys okay
parent,but now you added a green piece
parent,pick up the play doh off the carpet
parent,i like that drawing
parent,i'm taking my animal to the store
parent,i'm coloring like you are coloring
parent,that 's the cow
child,i hate you
parent,you ca n't do this
parent,i like that you 're not climbing on the table
parent,who taught you how to do that
parent,if you stop biting your nails they 'll be prettier
parent,where do you want the fence to go
parent,he won t have a cupcake
child,im a cookie monster and a milk monster and a yogurt monster and a
parent,the cow is brown
parent,hey hey
parent,children are n't supposed to yell when they 're inside
parent,you 're coloring the house with green
child,hand me the nose
parent,i 'll hand you the nose
parent,these pages are dirty
parent,thank you for picking up all the toys
child,i made a train track
parent,i love your track
parent,what 's going on here
parent,you got them together
child,dad the bus driver yelled at me again today
parent,he was n't very nice to you
parent,you 're making us dinner
child,i should put her clothess on
parent,you counted the numbers perfectly
parent,if you do n't give me the yellow crayon you 'll have to sit on the time out chair
parent,do n't do it like that
child,come sit with me
parent,you want me to come sit with you
parent,that was awesome
parent,you 're making that tower so tall
parent,you know what
parent,nice job with that tower
parent,these are peas
parent,that is not how we do things
parent,that wonderful tower you 're building may crash if you put it so close to the edge
child,why are we here
parent,why do you think we 're here
parent,are you making a tall tower
parent,thank you for sharing with me
child,i want to play with the train set
parent,you want to play with the train set
child,that small
parent,"that one is kind of low isn t it , we need a tall one don t we"
parent,you are going to make the windows red
child,"like that , like that"
parent,"oh there see , you got it out"
parent,name of child
parent,you drew a purple flower
parent,we need to put another log right here
child,this is a dog
parent,yes a dog
child,(child is playing with toy farm)
parent,the farmer is taking care of his animals
parent,that 's perfect
parent,good girl for playing
child,i dropped it
parent,oh that 's great
child,what is this (holding up a dolphin)
parent,that is a dolphin
parent,these pegs go in these holes
parent,you have the block
parent,do we sit on the table
child,i put it on top
parent,you did put it on top
parent,i 've noticed you 're really working on that tower
parent,ok
child,i'm going to share my straws with amy
parent,you share your straws with your friend
child,i love animals
parent,i am going to play with the farm
child,we need to find the bad guy
parent,okay i 'll help you find the bad guy
parent,you are awesome
parent,are you sure you want to do that
parent,good job sharing that toy with me
parent,why are you doing that
child,i want to play this
parent,you want to play this
child,let 's play with legos
parent,legos
parent,you are playing with the rocket
child,that
parent,where is mexico
parent,"oh , good job"
child,i am drawing a horse
parent,you are drawing a horse
child,how does it work
parent,i do n't know how it works
parent,you 're drawing a tree
parent,wait up
child,i like the horse
parent,you like the horse
parent,awesome job being quiet
child,it 's a big house
parent,it is a big house
child,you have to put it the other way
parent,like this right
parent,what a pretty flower
child,i ll choose this one and this one
parent,"oh , you got two"
parent,how many wheels are there in this car
child,there 's a green one
parent,yes there 's a green one
child,uhhuh
parent,i see you are coloring those apples pink
parent,i want you to make me a pizza
parent,put that here
parent,you are putting the green block on the yellow block
parent,that 's a messy picture
child,okay
parent,is it this one or that one
child,see the kitty
parent,yeahkitty
child,stacking legos
parent,you are stacking the legos
parent,you colored nicely
parent,you 're adding the piece there huh
parent,i think i need a hat
child,i have four horses
parent,you have four horses
child,i like this one
parent,you like that one
parent,good job keeping your hands to yourself
parent,put the chimney on
parent,give me the hammer or you ca n't play computer games when we get home
child,i'm cleaning up
parent,you 're cleaning up
parent,you are putting the arm in mr potato head
child,mine won again
parent,yours won again
child,i'm gonna open the door
parent,now you 're going to open the door
child,these cars are getting ready to race
parent,ready to race
parent,you build a really cool tower
parent,my favorite cake is strawberry
parent,i love how you 're using such kind words while playing with me
parent,thank you
parent,you 're smart for knowing your colors
child,can we go to macdonald 's after this
parent,no you did n't earn macdonald 's
parent,whatcha got there huh
parent,thank you
parent,jimmy give me the rock
child,i found a lego
parent,you did find a lego
child,let 's play with the blocks now
parent,i will get the blocks out
child,we have pizza grapes and a cookie
parent,pizza grapes and a cookie
parent,is that his left arm
parent,what is it anyway
child,i can make build this really high
parent,you can build it high
parent,pay attention
parent,i see
parent,i m using the red car
parent,i hate your whining
parent,now we got to get a single block like the little yellow one an then we got to put these together then we put
parent,it 's almost time for grandma 's visit
parent,they are eating
child,you re just kidding
parent,yeah
parent,i like playing with you
parent,you 're getting out the magnets
child,child puts cap on a marker
parent,you put the cap on the marker
parent,super fort
parent,you 're working hard to build the barn for all the animals
parent,put the crayons in the box
child,it 's almost time for a break
parent,it is almost time
child,i ll keep using pinks until we run out
parent,pink is your favorite
parent,i see
parent,that does n't go like that
child,(child climbs on chair)
parent,not available
parent,your making a talk tower
parent,i like how you made that tower
parent,you are doing a great job stacking those together
parent,stop yelling
parent,you are n't putting her eyes on yet
parent,where should i put this
parent,oh there 's a mr potato head
parent,i would n't do it it like that i would do it this way
parent,can you please put all the toys away now
child,child runs around the room
parent,please sit your bottom on the chair
parent,pick up the tinker toys
child,let 's put the green one on next
parent,the red one would look better
parent,let s try to put a few more in
child,bigs foot
parent,big foot
child,the dinner is going to be all
parent,oh
parent,you got it in there
parent,go sit down
parent,bad bad bad
child,running around the room
parent,you are running around
child,do you like horses
parent,you 're wondering if i like horses
child,i have to go to the bathroom
parent,do you know how find it
parent,nice listening
parent,it 's hot in this room
child,watch this
parent,i m watching
parent,you drew a green star
parent,i want you to hand me that
parent,i'm proud of you
child,this game is fun
parent,you like playing this game
parent,the giraffe is going down the slide
parent,try this one
parent,i like your manners
child,(child feeding baby doll)
parent,you 're feeding the baby doll
parent,you are going to put that gum in your mouth
child,do we have to clean this up
parent,you do it ok
parent,give that to daddy when you see him
parent,clean up this toy before we play with the other one
parent,you 're building a tower
parent,good job putting that down
child,this green is the tallest one
parent,the red is tallest
child,be careful on the corner but if you have a one piece you can put it there
parent,okay
child,let me get
parent,"oh , fig newtons"
child,we have to get more
parent,some more food
parent,ok
parent,you 're playing so nicely with the blocks
parent,his name is tommy
parent,why are you doing it that way
parent,you can go to the bathroom all by yourself
child,there are a lot of toys in here
parent,a lot of toys in here
child,her mother makes her say please
parent,children should talk nicely to their parents
child,(chooses the boat to play with)
parent,you picked the boat
parent,maybe there can be the food there
parent,"oh , you re doing so good , henry"
parent,that 's blue
child,i like coloring
parent,you like to color
child,(pulls red one out of box)
parent,you got a red one
parent,you have a lot of blue blocks
child,i wish i could smash your tower
parent,no that 's not nice i do n't want you saying things like that
parent,should we call this dog spot
parent,do n't swing on the curtains
parent,let 's stop that
parent,nice job making that piece fit
child,child is hyper and running around the room
parent,i ca n't take you anywhere (sarcasm)
parent,you sat down over there
parent,you are sitting in your chair so nicely
parent,please put the toys in the toy box because
parent,that 's the baby
parent,thank you for returning to the table
parent,put that toy over there
parent,are you kidding me
child,i'm putting the red block on top
parent,the red block on top
child,a mean yucky troll
parent,what do you think you are doing
parent,i like that train set
child,my car won
parent,it won
parent,that s good teamwork
child,can i have a kleenex
parent,yes you can get it yourself
parent,look look look
parent,good job coloring in the lines
parent,come here
child,i falled ed down and got hurt
parent,you fell down and got hurt
child,i can t fit
parent,it doesn t fit
parent,you found a cowboy hat
child,the girl is in the green car
parent,the green car has the girl and the boy in it
child,i'm making a princess castle
parent,you are making a princess castle
parent,"well , i was trying to follow you"
child,he s somewhere
parent,be careful there
child,no more
parent,no more
child,hanging the inaudible
parent,"oh , you picked up the blue shoes"
parent,the hat goes on the potatohead
child,i am using the black paint
parent,you are using the black paint
child,we have a long time to go what do we have to do with we are gonna we gonna do
parent,what are we going to do
child,the walls are done
parent,it should have a roof on it
child,i'm not done yet
parent,you 're too slow
parent,where are you going to put the container
child,sl el el
parent,she is the princess
parent,you are helping mommy
parent,great job
child,i want to go home
parent,we 'll go home soon
child,what 's that color
parent,teal (insert any color in a coloring box)
child,(drops a toy)
parent,you dropped it
parent,that looks like a tower
child,let 's build a tower
parent,let 's build a tower
child,the sun is yellow
parent,the sun is yellow
parent,i love the way you drew that so dark
parent,a house
parent,we have to pick up all the toys now
child,i'm sleepy
parent,you 're not getting enough sleep huh
parent,you what
parent,you are a good color er
parent,you know all your letters you get it
parent,take it out of your mouth
child,i circled the snake
parent,a long scary snake
parent,i love it
parent,use this one
parent,i like that lego tower
parent,you are sorting all the food
child,yeah
parent,okay
parent,beautiful picture
child,i built an airplane
parent,that does n't look like an airplane
parent,i m going to put my potato head here
parent,stack the blocks in a tall tower
parent,turn off the light please
child,which car is fastest
parent,you want to know which car is fastest
parent,that 's not where it goes honey
child,i have four cars
parent,the yellow red green and blue car
parent,you got every single one
child,what color is this
parent,you want to know what color that is
child,cocoon
parent,where are your shoes
parent,would you rather play with the castle
parent,if you break your sister 's headphones i 'll use your allowance money to replace them
parent,that 's colorful
child,yes
parent,okay
parent,if you stop being good i 'll tan your hide
parent,"oh , awesome"
parent,thanks for sharing with me
parent,you push the box on the shelf
child,i do n't know
parent,why do n't you ever listen
parent,that is not how you put that together
parent,nice
parent,check and see if it 's in your pocket
child,child under the table
parent,it would make me so happy if you would play at the table with me
parent,you can use the green one
parent,that 's naughty
parent,what a great cleaner you are
parent,your drawing looks great
parent,"well , it s an awesome feast"
parent,i like the way you are playing gently with your toys
child,dad
parent,thank you for staying with me
parent,you might color it silver
parent,you 've become such a good artist
parent,you made a red star
parent,you wrote an 'n'
parent,no that one
child,i made a square
parent,i do n't think so
child,nah
parent,say hi to the policemen
parent,where is it
parent,very cool
child,i won i won
parent,please stop shouting
parent,that 's it you did it congratulations
parent,great job putting the red block on the blue block
parent,stay in your chair
child,they re gonna love it
parent,"oh , this is so great"
parent,your hair is beautiful when you comb it like that
parent,you 're a good girl for playing with the toys
parent,i like these farm animals
parent,should i squish it
parent,you 're making it tall
parent,i'm so glad you made a good choice
parent,i love that you shared the crayons with me
parent,i love the way you are playing with me
parent,we 're snapping on the pieces
parent,it 's almost time
child,why
parent,the legos are in a pattern
parent,thanks for fixing my car
parent,what should we do now
parent,clean up the mess you made
parent,are you ok
parent,can you get me another one like this
parent,i m coming there
parent,how many animals are there
child,and then are you going to take it out
parent,"i will take it out eventually , yes"
parent,you 're done
parent,you put the cake together
child,sliced
parent,i know you like those
parent,it is awesome
parent,what sound does this animal make
child,i have a red one a blue one and a yellow one
parent,a yellow one
parent,okay i want you to write your name with the green crayon
parent,you are not saying it right
parent,you are sitting in my lap
child,that is this one
parent,oh that s that one
parent,no big bird is supposed to be yellow
parent,let 's play with the legos
parent,is that where it goes
parent,we 're going to go home after session today
child,this is a tractor
parent,you 're observant are n't you
parent,great job driving the car on the road
parent,why do n't you make a house and make it big
parent,oh boy that s a pretty good wall
parent,you can draw colorful flowers
parent,you 're building a big cabin
parent,stop playing mean
parent,you 're thinking hard
child,on it
parent,on it
child,the minister told us a story
parent,he came to the 4 year old class to tell a bible story
parent,pardon me
child,yes
parent,do we need pizza
child,(child starts making a wall with red blocks)
parent,you 're going to make the wall red
parent,shall we mary put the house here
parent,do you like this toy
child,okay
parent,does it fit
parent,good cleaning up
parent,no it goes like this
parent,if you do n't give me that hammer right now you 're going to get a spanking
parent,which one do you want
parent,can you put the toys away
parent,oh you 're going to build inflection
parent,i'm going to play with the firehouse
parent,you 're putting it on top
parent,bob calls child 's name to get attention
parent,why do you think i said that
child,sit sit sit sit
parent,that 's the wrong way
parent,you are driving the cars
child,my doll 's name is peter
parent,his name is peter
parent,i'm building a castle
parent,that tree is getting taller
parent,hmm
parent,thanks for picking that up
parent,you are playing with the playdoh
child,my name starts with m
parent,m
parent,you 're adding green to your picture
child,i found the piece for dory
parent,yes you found dory
child,yeah
parent,um do we need chicken
parent,you heard her put all the toys away
parent,i am
parent,cut the strawberry
parent,you put it on top
parent,i love your kind words
parent,the red car is touching you
child,this talks
parent,that tower is big
parent,you decided to give me the blue ones
parent,quit acting up
parent,we 'll talk about it later
child,i had started doing this
parent,you yeah
parent,i want to drive those cars
parent,who is going to clean this up
parent,why do n't we play with the blocks now
child,we ran out of blocks before your turn
parent,thanks a lot
parent,see if you can put them together for me
child,how hard
parent,we did it together
parent,it 's nice to see you working on your homework
child,i found a lemon
parent,"oh , perfect"
child,"one , gone"
parent,well get got to have one more
parent,i m not very good at getting the playdough out of here so i think we re even
child,dere
parent,if you do not stop running around i will spank you
parent,wrong
parent,i 'll play with this toy
child,how many are there
parent,you want to know how many there are
parent,why are you putting those together
child,laughs
parent,that 's a house
parent,you picked the blue toy
child,i want to make a house
parent,you want to make a house
parent,i want to color now
parent,and you put the arm on over there
parent,will you stop whining
parent,"hmm , wonder if this one can go on that next"
parent,you have beautiful hair
parent,you 're working so hard
parent,you could sit down
parent,great job picking up the toys
child,what
parent,do you want to go to timeout
parent,you just had two
child,mine is green
parent,yours is green is n't it
parent,now put it away
parent,what a creative idea to make him have two eyes
child,i see the advertisement and he says on jeepers creepers
parent,you and i are making a big fort
parent,you 're so creative with the play doh
parent,settle down
child,let s make a picnic
parent,"oh , a picnic"
parent,what are you doing now
parent,is there a dog in here
parent,terrific drawing
child,give me the car
parent,you want the car
parent,i'm tired
child,green is my favorite
parent,green is your favorite
child,i ca n't do it
parent,let me help
parent,there are n't any more wheels
parent,this is a circle
child,i got this for christmas
parent,your shirt
child,i 've got dolly
parent,remember dolly 's name
child,i like monkeys
parent,i know you like monkeys
parent,you found the ears
parent,you 're going to throw it
child,t rex was a meat eater
parent,t rex was a carnivore meat eater
child,there we go
parent,ok
parent,let 's go
parent,you were very smart to figure that out
parent,i ll make mine go next
child,now we have everyone is going to eat dinner
parent,"oh , hey"
child,i am building a house
parent,you are building a house
parent,"we gotta clean the table first , okay"
parent,you put it in the wrong place
parent,let 's play with the blocks
parent,you are drawing a sun
parent,let 's clean up now okay
child,we only have three
parent,"we only have three , that s true"
parent,i think it 's pretty cool the way you colored that puppy
parent,will you clean up
child,this puzzle wo n't work
parent,you seem upset because of the missing pieces
child,i want to read a book
parent,we can read a book after this is done
parent,i'm building a house
parent,why ca n't you ever behave
parent,i want to race cars
child,do you like my bridge
parent,oh you want to know if i like you 're bridge
child,you 're mean
parent,use nice words ok
parent,how nice of you
parent,you put your shoe on
parent,would n't that be fun huh
parent,i'm going to draw like you
parent,would you help me clean up
parent,alright
parent,you put the car on the garage
parent,you like horses
parent,that s a good idea
parent,i want you to draw what i draw okay
child,i don t i don t need it right now
parent,watch
parent,do you have one of those pieces
child,and when i wind it up it went went about a hundred feet up way up
parent,the toy is in your hand
parent,you make a small one
parent,can you stack the blocks
parent,these toys are fun are n't they
parent,give that back now
parent,what a great idea to build the tower that way
parent,here 's a t
parent,how many is that can you count them
parent,what is your favorite toy
parent,that 's what happens when you do n't listen
child,oh kay
parent,uh
parent,you 're not paying attention
parent,come play with these legos
child,i'm making a boat and a jet ski
parent,you 're making a boat and you 're making a jet ski
parent,thanks for sitting down
child,is this where the arm goes
parent,that 's where the arm goes
child,i'm making a robot
parent,you are making a robot
parent,what is your problem
child,the end
parent,i want more small pieces
child,okay
parent,yeah
child,i wanna change da wheel right now
parent,you 're putting that over there
parent,you are being brat
parent,would you stop coloring on the wall
child,the giraffe is pink
parent,no silly that giraffe is yellow
parent,i'm making a snake
parent,quit it
parent,i love how you 're following directions
parent,pick up the toys
parent,we ve got to build a wall around to keep your trucks in
parent,you are doing a good job
parent,stop it
parent,you just knocked over your tower
parent,can you reach it
child,i'm going to draw a picture of you
parent,you 're going to put the crayons away
child,child asks parent to play w
parent,i do n't want to play with
parent,you can play with any of the toys
parent,you 're good at lifting that
parent,i love drawing birds
child,lions
parent,let 's clean up
parent,pick it up
parent,put your shoes on
child,i drew a dinosaur
parent,yes you drew a stegosaurus
child,i want the red block
parent,the red block
parent,you 're drawing a house
parent,i like how you 're playing
parent,do n't be rude
parent,nice building
parent,get up from the floor
parent,a circus
parent,you are so good at coloring
parent,i love when you play gently with the toys
parent,how about that
child,got it
parent,we can use whatever color
parent,what 's wrong
child,a real lazy susan
parent,a real one
parent,we saw one of these the other day do you remember what it 's called
parent,you do n't know how to do anything
child,"sometimes you do , but sometimes you don t"
parent,that s right
parent,you ca n't do that
child,ice
parent,thank you for trying
parent,you 're not behaving
parent,that ai n't it
child,just all you guys
parent,"oh , just all us guys"
parent,sit down and shut up
child,my tower is really big
parent,you made it too big
parent,are you going to the farm
parent,we can get it after
parent,what an angel
parent,want to play with this now
child,playing with play doh
parent,you made a circle
child,i'm making a tall tower
parent,you are making a tall tower
parent,it is raining outside
child,i'm going to draw now
parent,you 're going to draw now
parent,he needed a hat
parent,i like playing this with you
parent,that 's a policeman
parent,lots of cards you 're lining up
parent,quit
child,gl
parent,yours is green
child,no
parent,listen
parent,i'm going to draw one like yours
child,here
parent,thank you for the spicy
parent,good stacking
parent,thanks for driving that over there
child,i want one
parent,this
parent,come sit next to me
child,you haveto get move
parent,i am sure
parent,you may eat the candy
parent,do you like what i made did
parent,do n't put that in your mouth
child,this chalk is messy
parent,it 's very messy
parent,what is this
parent,the door is white
parent,you are whining
parent,what do you want to do next
parent,you 're so difficult
child,my car goes fast
parent,my car goes fast too
child,they could get losed really quick
parent,"yeah , they are easy to lose"
child,we re gonna get some and now we re going to watch tv
parent,can he have some spicy
parent,then you 'll need more blocks
parent,now you 're adding some feet
parent,you 're not doing it right
child,"ok , we can start all over"
parent,"oh , alright"
parent,i love it when you help me
parent,can you pass me that box
parent,i do n't think we should play with that
parent,i see that you look bored
parent,thank you for my ice cream
parent,you 're good at that
parent,i love how gentle you are playing with the toys
parent,you 're still not using exactly the right colors for the american flag
parent,what is that
parent,if you keep sassing i 'll put you in time out
child,i want to play legos
parent,you want to play legos
child,how do you count to three
parent,one two three
parent,johnny is opening the box
parent,you have great aim kiddo
parent,nice picture
child,playing with cars
parent,you are putting the car down the ramp
parent,you put silly eyes on your potato head
parent,i m sorry
parent,you might put the blue cap on the blue bottle
parent,we 're drawing a house
child,i put a hat on my potato head
parent,a hat on your potato head
parent,will you sit down
parent,awesome picture
parent,do n't talk like that
parent,you 're a terrible child
parent,you think that we should eat pizza
parent,slowly
child,i'm going to draw a picture of you
parent,you 're going to draw a picture of me
parent,you put that in quickly
parent,do you have any more playdough
parent,how about putting your hands in your lap
parent,what color should i add next
parent,give me a red one
parent,pushing that tractor all over the place
child,because the other one has mm fish and thats lotsof fish
parent,i like the way you are playing quietly
child,i'm going to share my straws with amy
parent,you 're going to share your straws with amy
child,okay watch here mine is that yours
parent,you just finished the red one
parent,do you know what that 's called
child,let 's pretend we 're unicorns
parent,you have a wonderful imagination when we play pretend
child,you ca n't have any
parent,it 's so nice here
parent,how did you do that
child,building a tower
parent,that 's a beautiful tower you built
parent,you drew a circle
parent,these blocks are great
parent,you are drawing a big green dinosaur
parent,the dog you drew is very pretty
parent,what do you want to play with
parent,i like the purple cars
child,"ok , that s all of the tea we ve got"
parent,are you sure
parent,put the farmer in the barn
child,help me
parent,i 'll help you
parent,we built a lovely house together
parent,i think there are pieces missing here
child,i am making it big
parent,you are making it big huh
parent,um
child,how many do you have
parent,five
child,it 's a castle
parent,it 's a big castle
parent,give that to me
child,there are so many train tracks
parent,yes there are a lot of train tracks
child,he 's driving a car
parent,(laughing) what horses ca n't drive silly
parent,you try
child,i went to that store when people go out
parent,it is just not quite hard enough
child,would n't it be fun if i were a big spider
parent,nope
parent,you are drawing a rainbow
parent,you are using your words
child,i'm making it tall
parent,it 's tall
parent,can you pick up the toys
parent,there s an orange in the pot
parent,the car is driving on the road
parent,you chose the play dough
parent,hotdogs
child,a scoop of ice cream
parent,you found a scoop of ice cream
child,seven
parent,"one , two , three , four , five , six , seven"
child,but he s fast
parent,uh huh
parent,"oh , butter"
parent,you are singing and dancing
parent,bring it to me
parent,and you put that one in
parent,flip
parent,wanna make an airplane
parent,you 're working too slowly
parent,you 're writing an a
parent,you 're a nice girl
parent,you built (legos blocks)
parent,sounds great
child,i said i hate it here
parent,be quiet we do n't yell
parent,you 're putting red and blue magnets together
parent,can you get the toys over there
child,it 's a horse
parent,it is a horse
child,i colored a circle
parent,you colored it
parent,i used to play with trains when i was a kid
child,she 's building the puzzle
parent,yes she is building the puzzle
child,put the next one on daddy
parent,do you think it should go here
parent,you are building a train
parent,you made a robot
child,i only like the baby dinosaurs and not the big ones
parent,you like the baby dinosaurs only
parent,i do n't like that
child,hmm put money in there
parent,where are the pretty blocks
child,another cake
parent,another cake
parent,johnny johnny johnny
parent,terrific
child,this car
parent,"oh , that s a car"
parent,do you want to go to the store
child,some spicy food
parent,"oh , you need some spicy food"
parent,will you give me that green crayon
parent,i like that you 're playing quietly
parent,do you wanna build a castle
child,you can t follow me
parent,can these two cars be friends
child,the car is going down the track
parent,do you want it to go this way
parent,we need another log right here
parent,is that a house
parent,i love the house you drew
child,because
parent,i think we can put some peas in the baking
parent,you stacked a purple tower
parent,you 're being rude
parent,good job covering your mouth
child,this house is getting tall
parent,you are building that house up tall
parent,that piece does n't go there
parent,and then how about
parent,i like how you made that
child,yes
parent,yes
parent,you 're trying to reach the game
parent,yay
child,they are going to school
parent,oh to school
parent,i found a nose
parent,are you ready to leave
parent,it 's terrific that you know all your letters
child,will you be the cow
parent,no i do n't want to be the cow
parent,it 's mommy 's turn
parent,come on i want to play a different game
child,okay
parent,"ok , now you can pick one"
child,not clear play not clear toy
parent,you 're telling me something about a toy
parent,we get to put everything back up
parent,is n't the cow your favorite animal
parent,you colored the car blue
parent,you have your horse galloping with mine
parent,what will you play with next
child,"nah , they re fine"
parent,ok
child,i put the toy over here
parent,you put the toy over there
child,"yeah , sometimes i do , but not every day"
parent,not every day
parent,wait wait
parent,tom (stating name to get their child 's attention)
parent,you just made a pretty picture
child,i like the car
parent,you like the car
parent,oh ok
parent,we ll get it
child,the farmer is feeding the cows
parent,oh the farmer 's feeding the cows
child,where s the nose
parent,where is the nose
parent,you are making that car go so fast
parent,do you like my mr potato head
child,put the next one on daddy
parent,do you think it should go here or here
parent,i should get some of these toys for us
child,uh k
parent,"oh , great job"
parent,you 're working to make it darker
child,put it on top
parent,no way
parent,something might fall on my head
child,not clear play not clear toy
parent,you want to play with the toy
parent,that block is blue
parent,it 's nice to share
parent,wow you 're good at building with these things
parent,i do n't like it when you do that
child,i want to play with the legos
parent,with the legos
parent,now i'm going to draw a pirate
parent,take his cap off
child,i'm building a square
parent,a square
parent,hand me a crayon
parent,give me the hammer or i'm going to give all your toys away
parent,you worked so hard on that tower
child,i want to play with the legos
parent,you want to play with the legos
parent,where is the blue ball
parent,thanks for playing nicely with me
parent,it 's ready now
parent,can we get going on this
parent,the doggie looks like our doggie
parent,what are you building
parent,be nice
parent,do you want to play with blocks
child,i dont want a fork
parent,id like you to finish the picture
child,morning mommy
parent,morning
parent,i m listening
parent,i'm going to play with these
parent,very pretty
child,this chalk is messy
parent,it is also sticky
parent,you are laughing
parent,let 's play
child,pizza
parent,ok you are using chalk
child,that didn t go pretty fast
parent,that didn t go pretty fast
parent,uh oh
child,this is fun
parent,this is fun
child,eh eh
parent,those bushes are green
child,look at this one
parent,we 're talking too loudly
parent,how are you doing today
child,this is a stupid toy
parent,you think these large legos are dumb
child,a rock
parent,look at this
child,zoom
parent,i love the car
child,but look
parent,oops
parent,you are sitting
parent,can you hand me the crayons
parent,try to stay within the lines
child,i can color with red
parent,you can color with red
parent,i'm doing mine over here
parent,you are building a big building
parent,i like the way you 're coloring
parent,where are you going to put the blue crayon
parent,you are holding the toy
parent,holds up a toy giraffe what is this called
parent,yuck
parent,you 're on my last nerve today
child,i m running out of butter to
parent,you re running out of butter
parent,these toys are fun
parent,why do n't you put this (object) over there
child,i have a green marker
parent,you have a green marker
child,aw
parent,did you put it there
child,i'm pouring the tea
parent,you are pouring the lemon tea
parent,why do n't you whisper
parent,all these animals are going to line up
parent,nice job using your words
child,"aren t monster trucks , do you know how big they are"
parent,"mmm , yeah"
parent,excellent job
parent,i'm making my rainbow just like yours
parent,you 're making a funny face
child,(picks up all the toys)
parent,you finished
parent,who is coming to get some soda
parent,you 're looking at the toys
parent,put this inside the house
parent,thank you for putting two layers on
parent,here are some colors
parent,i hoped that you would draw a rabbit and give it to mom for a present
parent,what color is this apple
child,this is boring
parent,boring
parent,that 's the puzzle
parent,that 's a potato head
parent,and found her a new hat did n't you
parent,the accident helper call is called an ambulance
parent,no (daddy wo n't be home when we get there)
parent,you took my marker
child,dey can sit on dis truck
parent,you are pushing it along the floor are not you
parent,are you going to play with the red car
parent,i'm making mine high too
child,i'm drawing a picture of the ocean
parent,i see a seahorse and a shark
parent,good manners
parent,super
child,child is sitting down
parent,can you come over here
parent,that was very well organized
parent,why do n't you play with the truck
parent,if you keep whining i 'll take away your doll for a week
parent,she 's not going to like that
parent,you are putting them in order
parent,i had a toy like that when i was a boy
parent,it 's time to clean up
parent,go get a tissue
parent,hey hold on sophia
child,i want to go outside
parent,you would love to go outside
child,rapunzel was a grownup
parent,rapunzel was a grownup
parent,i like the way you did
parent,"and , um , let s see i found a little green apple flavored cupcake"
parent,be careful with the toys
parent,you are stacking them high
parent,i like the way you keep trying
parent,hand me the toys
parent,you are smart
parent,gasps there s monster trucks already in here
child,i want to play with animals
parent,we want to play animals
parent,will you stop running around the room
child,i ca n't wait to wear my new shoes
parent,you love your new shoes
child,child is pushing the legos together but they do n't snap into place
parent,you ca n't get the legos to go together
child,lips
parent,lips
parent,you found the eyes for potato head
parent,come on come on come on
parent,fabulous
parent,do n't knock the blocks over
parent,do n't talk to me like that
parent,no i said to color this tree green
parent,so we can go eat lunch please bring me your coat
parent,good job using an inside voice
parent,why do n't use the larger wheel in the front
child,i want one
parent,which
parent,you 're going to line everyone up at the start line
parent,colored a big kitty
child,i hate you
parent,children should n't say mean things like that
parent,i'm eating a piece of pizza with play food
child,this fits
parent,"okay , let s put that little truck up then we ll close the box"
parent,you 're driving so fast
parent,you picked the blue blocks
parent,wee
parent,what do they go on the plate with
parent,sweet
parent,you 're throwing the car
parent,how does that work
parent,i need you to put the toys away
parent,you 're make the cars race
parent,i think you are being careless
child,they re gonna eat the picnic
parent,the picnic
child,there are no more rockets
parent,hmm
parent,did n't we make up a fun game
parent,what do you want me to do with this
child,"and she listens to her real mother , but there was an evil girl"
parent,there was an evil girl
parent,you drew a house
parent,you 've tried all the places
parent,apologize or i will wash your mouth out with soap
parent,listen to me
child,i made a tower
parent,a tower
parent,while i was busy
parent,mmm
parent,why they are here
parent,what crayon can i use now
child,i do n't want to clean up
parent,will you please clean up
parent,just one wheel works
parent,when when
parent,you are making it tall
parent,love that
parent,playdoh is squishy
parent,you made me a pancake
parent,come on and put the eyes on mr potato head
child,i drew a dinosaur
parent,you drew a stegosaurus
child,i have a car
parent,you do have a car
parent,i like ice cream too
parent,where does that go
child,this tiger is going in the house
parent,i think you should put it in this cage
child,no
parent,no
child,to match
parent,your shoe is over there
parent,we can still use it
child,dis is my lello sun it 's really big
parent,your yellow sun is big
child,the malendas
parent,the drawing you made is going on the refrigerator
parent,"let s put the little ones , the little bitty ones in here"
child,i want to play with the blocks
parent,no it 's not time for blocks
child,a donut cookie
parent,a donut cookie
parent,that is a girl
parent,would you like to help me pick up
parent,the car is big
parent,why you doing that
parent,what a big boy
parent,your turn
child,oh
parent,singing is fun
parent,you need to hand me the red block
parent,the horse is galloping
child,can we leave
parent,you 're asking to leave
parent,you are so sweet to take turns building
parent,you are doing that fast
child,too late
parent,yeah
child,sure
parent,sure
parent,i hate it when you whine
parent,why do you always do that
parent,you 've got to sit down now
child,i m a champion
parent,oh my gosh
parent,i like how quietly you are playing
child,child is using the yellow color
parent,you are painting the sun yellow
child,can we go to mcdonald 's after this
parent,how many times are you going to ask me
child,daddy 's cooking tonight
parent,do n't bet on it
parent,the coins go in the slot
